codice;descrizione;marchio;denominazione;regione;vitigno;filosofia;CAPACITA;GRADO_ALC;FAMIGLIA;classe;PREZZO
38048;San Marzano Sessantanni Primitivo di Manduria DOC Old Vines J�roboam;Cantine San Marzano;Primitivo di Manduria DOC;PUGLIA;Primitivo di Manduria;Tradizionale;300;14,50%;Vini;Rosso;101,7
38049;San Marzano Sessantanni Primitivo di Manduria DOC Old Vines Mathusalem;Cantine San Marzano;Primitivo di Manduria DOC;PUGLIA;Primitivo di Manduria;Tradizionale;600;14,50%;Vini;Rosso;189,877
38050;San Marzano 11 Filari Primitivo di Manduria DOCG Dolce Naturale Cl. 50;Cantine San Marzano;Primitivo di Manduria DOCG Dolce Naturale;PUGLIA;Primitivo di Manduria;Tradizionale;50;13,50%;Vini;Dolce;9,911
38051;San Marzano Il Pumo Chardonnay Puglia IGT;Cantine San Marzano;Puglia IGT;PUGLIA;Chardonnay;Tradizionale;75;12,50%;Vini;Bianco;5,465
38052;San Marzano Tal� Chardonnay Puglia IGT;Cantine San Marzano;Puglia IGT;PUGLIA;Chardonnay;Tradizionale;75;13%;Vini;Bianco;7,086
38054;San Marzano Tal� Verdeca Puglia IGT;Cantine San Marzano;Puglia IGT;PUGLIA;Verdeca;Tradizionale;75;12,50%;Vini;Bianco;7,086
38055;San Marzano Edda Bianco Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Chardonnay;Tradizionale;75;13,50%;Vini;Bianco;11,254
38056;San Marzano Tal� Fiano Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Fiano;Tradizionale;75;13%;Vini;Bianco;7,086
38057;San Marzano Tal� Malvasia Nera Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Malvasia Nera;Tradizionale;75;13,50%;Vini;Rosso;7,086
38058;San Marzano Il Pumo Negroamaro Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;13,50%;Vini;Rosso;5,465
38059;San Marzano Tal� Negroamaro Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;13,50%;Vini;Rosso;7,086
38060;San Marzano F Negroamaro Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;14,50%;Vini;Rosso;18,247
38061;San Marzano F Negroamaro Salento IGT Magnum;Cantine San Marzano;Salento IGT;PUGLIA;Negroamaro;Tradizionale;150;14,50%;Vini;Rosso;43,625
38062;San Marzano Tal� Primitivo Merlot Salento IGP;Cantine San Marzano;Salento IGT;PUGLIA;Primitivo;Tradizionale;75;13,50%;Vini;Rosso;7,086
38063;San Marzano Tramari Ros� di Primitivo Salento IGT Magnum;Cantine San Marzano;Salento IGT;PUGLIA;Primitivo;Tradizionale;150;12,50%;Vini;Rosato;16,672
38064;San Marzano Il Pumo Sauvignon Malvasia Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Sauvignon Blanc;Tradizionale;75;12,50%;Vini;Bianco;5,465
38065;San Marzano Susco Susumaniello Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Susumaniello;Tradizionale;75;13,50%;Vini;Rosso;11,207
38066;San Marzano Timo Vermentino Salento IGT;Cantine San Marzano;Salento IGT;PUGLIA;Vermentino;Tradizionale;75;12,50%;Vini;Bianco;6,252
38067;San Marzano Il Pumo Salice Salentino DOC;Cantine San Marzano;Salice Salentino DOC;PUGLIA;Negroamaro;Tradizionale;75;13,50%;Vini;Rosso;5,465
38068;San Marzano Tal� Salice Salentino DOC;Cantine San Marzano;Salice Salentino DOC;PUGLIA;Negroamaro;Tradizionale;75;13,50%;Vini;Rosso;7,086
38069;San Marzano Collezione Cinquanta Vino Rosso d'Italia;Cantine San Marzano;Vino Rosso d'Italia;PUGLIA;;Tradizionale;75;14,50%;Vini;Rosso;13,338
38070;San Marzano Spumante Liboll Extra Dry;Cantine San Marzano;VSQ Vino Spumante di Qualit�;PUGLIA;;Tradizionale;75;11,50%;Bollicine;Blanc de Blanc;6,252
38071;San Marzano Spumante Liboll Ros� Extra Dry;Cantine San Marzano;VSQ Vino Spumante di Qualit�;PUGLIA;;Tradizionale;75;11,50%;Bollicine;Ros�;6,252
38072;D'Angelo Aglianico del Vulture DOC;Casa Vinicola D'Angelo;Aglianico del Vulture DOC;BASILICATA;Aglianico;Tradizionale;75;13,50%;Vini;Rosso;8,058
38073;Casale del Giglio Viognier Lazio IGT;Casale del Giglio;Lazio IGT;LAZIO;Viognier ;Tradizionale;75;13%;Vini;Bianco;8,892
38076;Cavit Quattro Vicariati Rosso Trentino Superiore DOC;Cavit;Trentino DOC;TRENTINO-ALTO ADIGE;Cabernet Sauvignon;Tradizionale;75;13,50%;Vini;Rosso;9,911
38077;Cavit Una Tantum Riesling Renano Trentino DOC;Cavit;Trentino DOC;TRENTINO-ALTO ADIGE;Riesling Renano;Tradizionale;75;13%;Vini;Bianco;25,008
38078;Cavit Cuv�e Speciale M�ller Thurgau Millesimato Brut Vigneti delle Dolomiti IGT;Cavit;Vigneti delle Dolomiti IGT;TRENTINO-ALTO ADIGE;M�ller Thurgau;Tradizionale;75;11,50%;Bollicine;Blanc de Blanc;4,585
38079;Cavit Maso Toresella La Cuv�e Bianco Vigneti delle Dolomiti IGT;Cavit;Vigneti delle Dolomiti IGT;TRENTINO-ALTO ADIGE;Sauvignon Blanc;Tradizionale;75;13%;Vini;Bianco;13,708
38080;Cavit Altemasi Spumante Brut Millesimato Trento DOC;Cavit - Altemasi;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Blanc;14,634
38081;Cavit Altemasi Spumante Pas Dos� Millesimato Trento DOC;Cavit - Altemasi;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Noir;32,927
38082;Cavit Altemasi Spumante Graal Riserva Brut Millesimato Trento DOC;Cavit - Altemasi;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Noir;40,939
38083;Cavit Altemasi Spumante Ros� Brut Trento DOC;Cavit - Altemasi;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Ros�;18,988
38084;Cavit Altemasi Spumante Blanc de Noirs Brut Millesimato Trento DOC;Cavit - Altemasi;Trento DOC;TRENTINO-ALTO ADIGE;Pinot Nero;Tradizionale;75;12,50%;Bollicine;Blanc de Noir;28,991
38085;Cavit Altemasi Spumante Ros� Riserva Brut Millesimato Trento DOC;Cavit - Altemasi;Trento DOC;TRENTINO-ALTO ADIGE;Pinot Nero;Tradizionale;75;12,50%;Bollicine;Ros�;28,991
38086;Cavit Bottega Vinai Teroldego Rotaliano DOC;Cavit - Bottega Vinai;Teroldego Rotaliano DOC;TRENTINO-ALTO ADIGE;Teroldego;Tradizionale;75;13%;Vini;Rosso;6,623
38087;Cavit Bottega Vinai Cabernet Sauvignon Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Cabernet Sauvignon;Tradizionale;75;13%;Vini;Rosso;7,595
38088;Cavit Bottega Vinai Chardonnay Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;13%;Vini;Bianco;6,067
38089;Cavit Bottega Vinai Gew�rztraminer Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Gew�rztraminer;Tradizionale;75;13,50%;Vini;Bianco;10,142
38090;Cavit Bottega Vinai Lagrein Dunkel Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Lagrein;Tradizionale;75;12,50%;Vini;Rosso;7,873
38091;Cavit Bottega Vinai Marzemino Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Marzemino;Tradizionale;75;13%;Vini;Rosso;6,252
38092;Cavit Bottega Vinai Merlot Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Merlot;Tradizionale;75;13%;Vini;Rosso;7,225
38093;Cavit Bottega Vinai M�ller Thurgau Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;M�ller Thurgau;Tradizionale;75;12,50%;Vini;Bianco;5,928
38094;Cavit Bottega Vinai Pinot Grigio Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Pinot Grigio;Tradizionale;75;13%;Vini;Bianco;6,576
38095;Cavit Bottega Vinai Pinot Nero Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Pinot Nero;Tradizionale;75;13%;Vini;Rosso;8,707
38096;Cavit Bottega Vinai Sauvignon Blanc Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Sauvignon Blanc;Tradizionale;75;12,50%;Vini;Bianco;7,178
38097;Cavit Bottega Vinai Schiava Gentile Trentino DOC;Cavit - Bottega Vinai;Trentino DOC;TRENTINO-ALTO ADIGE;Schiava;Tradizionale;75;11,50%;Vini;Rosato;4,909
38102;Ceretto Piana Barbera d'Alba DOC Bio;Ceretto;Barbera d'Alba DOC;PIEMONTE;Barbera;Tradizionale;75;14%;Vini;Rosso;13,199
38104;Ceretto Barolo Chinato DOCG Cl. 50;Ceretto;Barolo DOCG;PIEMONTE;Nebbiolo;Tradizionale;50;17%;Vini;Dolce;27,046
38108;Ci� Ci� Lacrima di Morro d'Alba DOC;Ci� Ci� Tenimenti Bartolomei;Lacrima di Morro D'Alba DOC;MARCHE;Lacrima;Tradizionale;75;12,50%;Vini;Rosso;5,743
38109;Col Vetoraz Prosecco Brut Valdobbiadene DOCG;Col Vetoraz;Conegliano Valdobbiadene Prosecco DOCG;VENETO;Glera;Tradizionale;75;11,50%;Bollicine;Blanc de Blanc;11,763
38110;Col Vetoraz Prosecco Cuv�e 13 Extra Dry Valdobbiadene DOCG;Col Vetoraz;Conegliano Valdobbiadene Prosecco DOCG;VENETO;Glera;Tradizionale;75;11,50%;Bollicine;Blanc de Blanc;10,42
38111;Col Vetoraz Prosecco Cuv�e 5 Extra Brut Valdobbiadene DOCG;Col Vetoraz;Conegliano Valdobbiadene Prosecco DOCG;VENETO;Glera;Tradizionale;75;11,50%;Bollicine;Blanc de Blanc;13,43
38112;Col Vetoraz Prosecco Cuv�e � Extra Brut Valdobbiadene DOCG;Col Vetoraz;Conegliano Valdobbiadene Prosecco DOCG;VENETO;Glera;Tradizionale;75;11,50%;Bollicine;Blanc de Blanc;10,42
38113;Col Vetoraz Prosecco Extra Dry Valdobbiadene DOCG;Col Vetoraz;Conegliano Valdobbiadene Prosecco DOCG;VENETO;Glera;Tradizionale;75;11,50%;Bollicine;Blanc de Blanc;10,096
38114;Col Vetoraz Prosecco Dry Millesimato Valdobbiadene DOCG;Col Vetoraz;Conegliano Valdobbiadene Prosecco DOCG;VENETO;Glera;Tradizionale;75;11,50%;Bollicine;Blanc de Blanc;13,43
38115;Col Vetoraz Prosecco Superiore di Cartizze Dry Valdobbiadene Superiore di Cartizze DOCG;Col Vetoraz;Conegliano Valdobbiadene Prosecco Superiore di Cartizze DOCG;VENETO;Glera;Tradizionale;75;11,50%;Bollicine;Blanc de Blanc;22,739
38116;Contadi Castaldi Sat�n Brut Millesimato Franciacorta DOCG con e senza Astuccio;Contadi Castaldi;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;13%;Bollicine;Blanc de Blanc;20,192
38117;Contadi Castaldi Sat�n Brut Millesimato Franciacorta DOCG Magnum;Contadi Castaldi;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;150;13%;Bollicine;Blanc de Blanc;39,411
38118;Contadi Castaldi Soul Sat�n Brut Millesimato Franciacorta DOCG;Contadi Castaldi;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Blanc;22,878
38119;Contadi Castaldi Ros� Brut Franciacorta DOCG ;Contadi Castaldi;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;12,50%;Bollicine;Ros�;17,691
38120;Contadi Castaldi Ros� Brut Franciacorta DOCG Cl. 37,5;Contadi Castaldi;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;12,50%;Bollicine;Ros�;10,605
38121;Contadi Castaldi Brut Franciacorta DOCG Cl. 37,5;Contadi Castaldi;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;37,5;12,50%;Bollicine;Blanc de Noir;7,549
38122;Contadi Castaldi Brut Franciacorta DOCG;Contadi Castaldi;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Noir;14,82
38123;Contadi Castaldi Brut Franciacorta DOCG J�roboam Cassetta di Legno;Contadi Castaldi;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;300;12,50%;Bollicine;Blanc de Noir;107,767
38124;Contadi Castaldi Brut Franciacorta DOCG Magnum Cassetta di Legno;Contadi Castaldi;Franciacorta DOCG;LOMBARDIA;Chardonnay;Tradizionale;150;12,50%;Bollicine;Blanc de Noir;44,366
38125;Conti Zecca Liranu Negroamaro Rosso Leverano Riserva DOC;Conti Zecca;Leverano DOC;PUGLIA;Negroamaro;Tradizionale;75;14,5;Vini;Rosso;8,104
38126;Conti Zecca Terra Aglianico Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Aglianico;Tradizionale;75;14%;Vini;Rosso;10,744
38127;Conti Zecca Luna Salento Bianco IGT;Conti Zecca;Salento IGT;PUGLIA;Chardonnay;Tradizionale;75;13%;Vini;Bianco;9,772
38128;Conti Zecca Cantalupi Chardonnay Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Chardonnay;Tradizionale;75;13%;Vini;Bianco;4,585
38129;Conti Zecca Mendola Fiano Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Fiano;Tradizionale;75;13%;Vini;Bianco;6,669
38130;Conti Zecca Calavento Malvasia Bianca Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Malvasia Bianca;Tradizionale;75;13,50%;Vini;Bianco;6,345
38131;Conti Zecca Conti Zecca Sud Est Frizzante Bianco Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Malvasia Bianca;Tradizionale;75;12,50%;Vini;Bianco;5,233
38132;Conti Zecca Nero Salento Rosso IGT;Conti Zecca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;13,50%;Vini;Rosso;31,121
38133;Conti Zecca Saraceno Emozioni Rosa Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;12%;Vini;Rosato;3,798
38134;Conti Zecca Cantalupi Rosato Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;12,50%;Vini;Rosato;4,492
38135;Conti Zecca Venus Rosato Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;13%;Vini;Rosato;6,576
38136;Conti Zecca Conti Zecca Sud Est Frizzante Rosato Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;12,50%;Vini;Rosato;5,002
38137;Conti Zecca Cantalupi Negroamaro Salento IGT Cl. 37,5;Conti Zecca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;37,5;13,50%;Vini;Rosso;3,288
38138;Conti Zecca Cantalupi Negroamaro Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Negroamaro;Tradizionale;75;13,50%;Vini;Rosso;4,909
38139;Conti Zecca Rifugio Primitivo Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Primitivo;Tradizionale;75;14%;Vini;Rosso;7,41
38140;Conti Zecca Rodin� Primitivo Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Primitivo;Tradizionale;75;14%;Vini;Rosso;31,121
38141;Conti Zecca Cantalupi Primitivo Salento IGT;Conti Zecca;Salento IGT;PUGLIA;Primitivo;Tradizionale;75;13,50%;Vini;Rosso;5,326
38142;Conti Zecca Cantalupi Salice Salentino Riserva DOC Cl. 37,5;Conti Zecca;Salice Salentino DOC;PUGLIA;Negroamaro;Tradizionale;37,5;14%;Vini;Rosso;4,909
38143;Conti Zecca Cantalupi Salice Salentino Riserva DOC;Conti Zecca;Salice Salentino DOC;PUGLIA;Negroamaro;Tradizionale;75;14%;Vini;Rosso;7,178
38144;Conti Zecca Cantalupi Rosso Salice Salentino DOC;Conti Zecca;Salice Salentino DOC;PUGLIA;Negroamaro;Tradizionale;75;14%;Vini;Rosso;4,909
38145;Cordero Di Montezemolo Barbera d'Alba DOC ;Cordero Di Montezemolo;Barbera d'Alba DOC;PIEMONTE;Barbera;Tradizionale;75;13%;Vini;Rosso;13,106
38146;Cordero Di Montezemolo Funtan� Barbera d'Alba Superiore DOC;Cordero Di Montezemolo;Barbera d'Alba DOC;PIEMONTE;Barbera;Tradizionale;75;14,50%;Vini;Rosso;29,686
38147;Cordero Di Montezemolo Monfalletto Barolo DOCG;Cordero Di Montezemolo;Barolo DOCG;PIEMONTE;Nebbiolo;Tradizionale;75;14%;Vini;Rosso;39,365
38148;Cordero Di Montezemolo Gattera Barolo DOCG;Cordero Di Montezemolo;Barolo DOCG;PIEMONTE;Nebbiolo;Tradizionale;75;15%;Vini;Rosso;69,05
38149;Cordero Di Montezemolo Enrico VI Barolo DOCG;Cordero Di Montezemolo;Barolo DOCG;PIEMONTE;Nebbiolo;Tradizionale;75;15%;Vini;Rosso;81,647
38150;Cordero Di Montezemolo Dolcetto d'Alba DOC;Cordero Di Montezemolo;Dolcetto d'Alba DOC;PIEMONTE;Dolcetto;Tradizionale;75;13,50%;Vini;Rosso;11,439
38151;Cordero Di Montezemolo Arneis Langhe DOC;Cordero Di Montezemolo;Langhe DOC;PIEMONTE;Arneis;Tradizionale;75;13%;Vini;Bianco;11,439
38152;Cordero Di Montezemolo Nebbiolo Langhe DOC;Cordero Di Montezemolo;Langhe DOC;PIEMONTE;Nebbiolo;Tradizionale;75;14%;Vini;Rosso;14,31
38153;Cusumano Jal� Vigneto del Ventaglio Chardonnay Sicilia DOC;Cusumano;Sicilia DOC;SICILIA;Chardonnay;Tradizionale;75;13%;Vini;Bianco;21,072
38154;Cusumano Nero D'Avola Sicilia DOC;Cusumano;Sicilia DOC;SICILIA;Nero dAvola;Tradizionale;75;13%;Vini;Rosso;6,947
38155;Cusumano Sagana Vigneto del Torrone Bianco Nero dAvola DOC;Cusumano;Sicilia DOC;SICILIA;Nero dAvola;Tradizionale;75;15%;Vini;Rosso;20,655
38156;Cusumano No� Vigneto Sotto le Case Sicilia DOC;Cusumano;Sicilia DOC;SICILIA;Nero dAvola;Tradizionale;75;15%;Vini;Rosso;24,128
38157;Cusumano Benuara Sicilia DOC;Cusumano;Sicilia DOC;SICILIA;Nero dAvola;Tradizionale;75;14,50%;Vini;Rosso;11,022
38158;Cusumano Moscato dello Zucco Sicilia Bianco Passito IGT Cl. 50;Cusumano;Sicilia IGT;SICILIA;Moscato Bianco;Tradizionale;50;13%;Vini;Dolce;21,998
38159;Cusumano Insolia Terre Siciliane IGT;Cusumano;Terre Siciliane IGT;SICILIA;Inzolia;Tradizionale;75;12,50%;Vini;Bianco;6,345
38160;Cusumano Angimb� Terre Siciliane IGT;Cusumano;Terre Siciliane IGT;SICILIA;Inzolia;Tradizionale;75;12,50%;Vini;Bianco;7,78
38161;Cusumano Merlot Terre Siciliane IGT;Cusumano;Terre Siciliane IGT;SICILIA;Merlot;Tradizionale;75;13%;Vini;Rosso;5,789
38162;Cusumano Ramusa Rosato Terre Siciliane IGT;Cusumano;Terre Siciliane IGT;SICILIA;Pinot Nero;Tradizionale;75;12%;Vini;Rosato;7,919
38163;Cusumano Syrah Terre Siciliane IGT;Cusumano;Terre Siciliane IGT;SICILIA;Syrah;Tradizionale;75;14%;Vini;Rosso;6,715
38164;De Bernard Baroque Gold Prosecco Extra Dry Treviso DOC;De Bernard;Prosecco Treviso DOC;VENETO;Glera;Tradizionale;75;11%;Bollicine;Blanc de Blanc;8,058
38165;De Bernard Baroque Gold Cuv�e Prestige Spumante Extra Dry;De Bernard;VSQ Vino Spumante di Qualit�;VENETO;Glera;Tradizionale;75;11%;Bollicine;Blanc de Blanc;6,669
38166;De Faveri Prosecco Dry Valdobbiadene Superiore Di Cartizze DOCG;De Faveri;Conegliano Valdobbiadene Prosecco Superiore di Cartizze DOCG;VENETO;Glera;Tradizionale;75;11%;Bollicine;Blanc de Blanc;19,127
38167;De Faveri Prosecco Frizzante Spago Treviso DOC;De Faveri;Prosecco Treviso DOC;VENETO;Glera;Tradizionale;75;11%;Bollicine;Blanc de Blanc;8,058
38168;Di Majo Norante Don Luigi Riserva Molise DOC;Di Majo Norante;Molise DOC;MOLISE;Montepulciano;Tradizionale;75;14%;Vini;Rosso;26,166
38169;Di Majo Norante Tintilia del Molise DOC;Di Majo Norante;Tintilia del Molise DOC;MOLISE;Tintilia;Tradizionale;75;14%;Vini;Rosso;12,597
38170;Donnafugata Floramundi Cerasuolo di Vittoria DOCG;Donnafugata;Cerasuolo di Vittoria DOCG;SICILIA;Nero dAvola;Tradizionale;75;13,50%;Vini;Rosso;13,477
38171;Donnafugata La Fuga Chardonnay Contessa Entellina DOC;Donnafugata;Contessa Entellina DOC;SICILIA;Chardonnay;Tradizionale;75;13%;Vini;Bianco;11,207
38172;Donnafugata Sul Vulcano Rosato Etna DOC;Donnafugata;Etna DOC;SICILIA;Nerello Mascalese;Tradizionale;75;12,50%;Vini;Rosato;17,182
38173;Donnafugata Sul Vulcano Rosso Etna DOC;Donnafugata;Etna DOC;SICILIA;Nerello Mascalese;Tradizionale;75;14%;Vini;Rosso;17,182
38174;Donnafugata Ben Ry� Passito di Pantelleria DOC Magnum;Donnafugata;Pantelleria DOC;SICILIA;Zibibbo;Tradizionale;150;14%;Vini;Dolce;108,184
38175;Donnafugata Ben Ry� Passito di Pantelleria DOC Cl. 37,5;Donnafugata;Pantelleria DOC;SICILIA;Zibibbo;Tradizionale;37,5;14%;Vini;Dolce;26,953
38176;Donnafugata Ben Ry� Passito di Pantelleria DOC;Donnafugata;Pantelleria DOC;SICILIA;Zibibbo;Tradizionale;75;14%;Vini;Dolce;52,054
38177;Donnafugata Anth�lia Bianco Sicilia DOC;Donnafugata;Sicilia DOC;SICILIA;Catarratto;Tradizionale;75;12,50%;Vini;Bianco;8,938
38178;Donnafugata SurSur Grillo Sicilia DOC;Donnafugata;Sicilia DOC;SICILIA;Grillo;Tradizionale;75;13%;Vini;Bianco;10,42
38179;Donnafugata Angheli Rosso Sicilia DOC;Donnafugata;Sicilia DOC;SICILIA;Merlot;Tradizionale;75;14%;Vini;Rosso;15,977
38180;Donnafugata Sed�ra Rosso Sicilia DOC;Donnafugata;Sicilia DOC;SICILIA;Nero dAvola;Tradizionale;75;13,50%;Vini;Rosso;8,197
38181;Donnafugata Mille e una Notte Terre Siciliane IGT;Donnafugata;Terre Siciliane IGT;SICILIA;Nero dAvola;Tradizionale;75;13,50%;Vini;Rosso;54,925
38182;Elio Grasso Vigna Martina Barbera d'Alba DOC;Elio Grasso;Barbera d'Alba DOC;PIEMONTE;Barbera;Tradizionale;75;15%;Vini;Rosso;19,127
38183;Elio Grasso dei Grassi Dolcetto dAlba DOC;Elio Grasso;Dolcetto d'Alba DOC;PIEMONTE;Dolcetto;Tradizionale;75;13,50%;Vini;Rosso;9,586
38184;Elio Grasso Gavarini Nebbiolo Langhe DOC;Elio Grasso;Langhe DOC;PIEMONTE;Nebbiolo;Tradizionale;75;14,50%;Vini;Rosso;14,588
38187;Ferrari Gran Cuv�e Brut Trento DOC J�roboam Cassetta di Legno;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;300;12,50%;Bollicine;Blanc de Blanc;167,416
38188;Ferrari Gran Cuv�e Brut Trento DOC Mathusalem Cassetta di Legno;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;600;12,50%;Bollicine;Blanc de Blanc;263,929
38189;Ferrari Maximum Blanc De Blancs Brut Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Blanc;20,979
38190;Ferrari Maximum Blanc De Blancs Brut Trento DOC Cl. 37,5;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;37,5;12,50%;Bollicine;Blanc de Blanc;12,643
38191;Ferrari Maximum Blanc De Blancs Brut Trento DOC Magnum Astucciato;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;150;12,50%;Bollicine;Blanc de Blanc;45,154
38192;Ferrari Maximum Blanc De Blancs Brut Trento DOC Magnum Cassetta di Legno;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;150;12,50%;Bollicine;Blanc de Blanc;63,91
38193;Ferrari Maximum Dem� Sec Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Blanc;21,118
38194;Ferrari Perl� Bianco Riserva Brut Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Blanc;33,761
38195;Ferrari Perl� Brut Millesimato Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Blanc;30,241
38196;Ferrari Perl� Brut Millesimato Trento DOC Magnum;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;150;12,50%;Bollicine;Blanc de Blanc;57,148
38197;Ferrari Perl� Zero Cuv�e Dosaggio Zero Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Blanc;54,323
38198;Ferrari Riserva Lunelli Extra Brut Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Blanc;52,1
38199;Ferrari Riserva Lunelli Extra Brut Trento DOC Magnum Cassetta di Legno;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;150;12,50%;Bollicine;Blanc de Blanc;113,139
38200;Giulio Ferrari Riserva Del Fondatore Extra Brut Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;75;12,50%;Bollicine;Blanc de Blanc;122,355
38201;Giulio Ferrari Riserva Del Fondatore Extra Brut Trento DOC Magnum Cassetta di Legno;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Chardonnay;Tradizionale;150;12,50%;Bollicine;Blanc de Blanc;256,241
38202;Ferrari Perl� Nero Riserva Extra Brut Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Pinot Nero;Tradizionale;75;12,50%;Bollicine;Blanc de Noir;64,836
38203;Ferrari Ros� Brut Trento DOC Cl. 37,5;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Pinot Nero;Tradizionale;37,5;12,50%;Bollicine;Ros�;16,024
38204;Ferrari Maximum Ros� Brut Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Pinot Nero;Tradizionale;75;12,50%;Bollicine;Ros�;25,842
38205;Ferrari Perl� Ros� Riserva Brut Millesimato Trento DOC;Ferrari;Trento DOC;TRENTINO-ALTO ADIGE;Pinot Nero;Tradizionale;75;12,50%;Bollicine;Ros�;39,921
